facility_id,evuc_identifier,specialization_id,specialization_slug,specialization_name,is_primary
ccadc560-fab0-5508-a0cb-ab1dc093de7d,66-57188378-A0001,18399a21-359c-51f7-b91b-3e4b89109c37,vseobecne-lekarstvo,všeobecné lekárstvo,true
10595f3c-e673-55c6-9e13-12fb8dacf2c9,66-55168850-A0001,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
4ac57932-e5bd-5163-8244-7024c3237d24,66-50727184-A0007,53308120-a9b8-57ff-91f7-c6fae1c467d7,plasticka-chirurgia,plastická chirurgia,true
76557bbe-3dd9-51a6-8db8-bb12490ea89b,66-50727184-A0003,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
ae691587-361d-5c9c-acd4-680291328145,66-50727184-A0004,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
13a18e28-17fb-5178-9ce5-f44e89fd2ec5,66-50727184-A0005,79cfb43a-7424-56d3-8486-84fea70e1000,dermatovenerologia,dermatovenerológia,true
9a950271-4dd6-5ea9-b189-6a10b14083fe,66-50727184-A0006,0e96bc54-d0d8-55c1-b756-84edd85894c3,urologia,urológia,true
362fb461-1bcc-5535-b424-32fb6ab46147,66-56659776-A0001,c6521d61-dc2e-5bd8-95ad-29132d0fe348,klinicka-psychologia,klinická psychológia,true
362fb461-1bcc-5535-b424-32fb6ab46147,66-56659776-A0001,6bdc8a9a-a6cd-5976-ae67-e003f089e8fa,psychoterapia,psychoterapia,false
1a630b15-c027-58ff-9a93-5369f5e0a291,51-00697516-A0008,cb371692-159a-5e10-b4f7-92126297ea57,vrtulnikova-zachranna-zdravotna-sluzba,vrtuľníková záchranná zdravotná služba,true
56094724-5d3a-5e42-a492-0fb3eb3d49a7,66-35910682-A0001,17932682-ec13-5f2f-bfc4-54d478fe5ba0,radiologia,rádiológia,true
7187ba35-e8e5-5116-9df2-dba9ce84cc02,66-55479251-A0001,86a7ca65-5090-5207-8f3e-5903710ed8f5,fyzioterapia,fyzioterapia,true
d6cda10c-6040-5c94-9736-f923a546891e,66-56765631-A0003,c6521d61-dc2e-5bd8-95ad-29132d0fe348,klinicka-psychologia,klinická psychológia,true
c4aa5e87-2677-51da-8fb3-2aa4c98777ae,66-56765631-A0001,469fcf66-42a6-5bb5-9867-ac24e4255ca2,poradenska-psychologia,poradenská psychológia,true
c4aa5e87-2677-51da-8fb3-2aa4c98777ae,66-56765631-A0001,127c9296-d949-57fd-aa7c-febc99de0b52,dopravna-psychologia,dopravná psychológia,false
0703d0a7-49c5-55cc-b2de-79c919f37a4b,66-56765631-A0002,bb20f6c3-405e-5653-b6d2-18d16713b4d6,pracovna-a-organizacna-psychologia,pracovná a organizačná psychológia,true
27e34592-ee80-58f9-b1c3-81625f1c04c9,66-56642709-A0002,bda73d65-4d7f-5a0f-8e28-a792ecd28ae0,anesteziologia-a-intenzivna-medicina,anestéziológia a intenzívna medicína,true
6f4f9b16-d26a-5d9c-848f-47dcbf47443f,66-56547633-A0001,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
fd433a88-601f-5884-9215-11118a6363b9,66-56642709-A0001,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
c7c9c3a3-cb1e-5bd1-b589-e0ae92d7dab8,66-50557262-A0001,c6521d61-dc2e-5bd8-95ad-29132d0fe348,klinicka-psychologia,klinická psychológia,true
c7c9c3a3-cb1e-5bd1-b589-e0ae92d7dab8,66-50557262-A0001,6bdc8a9a-a6cd-5976-ae67-e003f089e8fa,psychoterapia,psychoterapia,false
e3a7185b-aaca-58a5-929c-10870509a39b,66-50770420-A0002,6247b5eb-08de-56d8-8ad7-61469a734ddf,algeziologia,algeziológia,true
067fcf11-81fd-5b0a-9a88-f26d52c84592,66-50770420-A0001,18399a21-359c-51f7-b91b-3e4b89109c37,vseobecne-lekarstvo,všeobecné lekárstvo,true
6ef36604-b9f0-5987-8f51-8de61b539d7c,66-36733768-A0004,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
6ef36604-b9f0-5987-8f51-8de61b539d7c,66-36733768-A0004,d5ab7a9d-611d-51bd-ad68-2a4eb1690fdf,dentoalveolarna-chirurgia,dentoalveolárna chirurgia,false
6ef36604-b9f0-5987-8f51-8de61b539d7c,66-36733768-A0004,f937ce8c-aa70-514f-87e0-ad1040a30d93,implantologia,implantológia,false
e5727f7f-4973-5b61-b1ae-2431adaa188b,66-36733768-A0005,48b42f7a-c1cd-59c4-a38d-7f40fa343938,zubne-lekarstvo,zubné lekárstvo,true
e5727f7f-4973-5b61-b1ae-2431adaa188b,66-36733768-A0005,d5ab7a9d-611d-51bd-ad68-2a4eb1690fdf,dentoalveolarna-chirurgia,dentoalveolárna chirurgia,false
e5727f7f-4973-5b61-b1ae-2431adaa188b,66-36733768-A0005,f937ce8c-aa70-514f-87e0-ad1040a30d93,implantologia,implantológia,false
bf99493e-740c-5a44-9b05-837d9a8c7a77,66-56264887-A0001,361dfd18-2269-5687-95c0-9ef648530d47,oftalmologia,oftalmológia,true
3c372c8d-15b5-5f8c-a29b-6fabb54c59a4,66-44407033-A0002,a51ee7b2-58e5-578d-a5d6-c1039189da0f,celustna-ortopedia,čeľustná ortopédia,true
3c372c8d-15b5-5f8c-a29b-6fabb54c59a4,66-44407033-A0002,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
3c372c8d-15b5-5f8c-a29b-6fabb54c59a4,66-44407033-A0002,5afbbea9-ae04-52a7-b6a6-e9e612756581,mddr-adam-michelcik-lekar,MDDr. Adam Michelčík (lekár),false
7d5fd530-947c-5f39-92f6-29940d07d19b,66-56652062-A0002,469fcf66-42a6-5bb5-9867-ac24e4255ca2,poradenska-psychologia,poradenská psychológia,true
7d5fd530-947c-5f39-92f6-29940d07d19b,66-56652062-A0002,127c9296-d949-57fd-aa7c-febc99de0b52,dopravna-psychologia,dopravná psychológia,false
e13a49ad-3c2c-5fc4-af85-85114df69848,66-56652062-A0001,bb20f6c3-405e-5653-b6d2-18d16713b4d6,pracovna-a-organizacna-psychologia,pracovná a organizačná psychológia,true
18acebd1-961f-599e-b294-54a8f30237aa,66-51744422-A0011,4c49d11c-fc53-5b02-9549-d7d6fe55d6be,diabetologia-poruchy-latkovej-premeny-a-vyzivy,"diabetológia, poruchy látkovej premeny a výživy",true
18acebd1-961f-599e-b294-54a8f30237aa,66-51744422-A0011,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
