id,name,id_facility_type,description,website_url,deleted_at
8c1b4a00-a9dd-5035-b3f5-c6e3171bc3ba,"Všeobecná ambulancia pre dospelých, Slovenská Ľupča, (Nevea s. r. o.)",9595ec5e-5edf-59f4-af99-2d895c76145f,Import e-VÚC | Identifikátor: 66-56058632-A0001 | Poskytovateľ: Nevea s. r. o. | IČO: 56058632 | Odbornosť: všeobecné lekárstvo,,
71869de7-efca-55eb-940a-c2252baa6c55,"Ambulancia poradenskej psychológie, Banská Bystrica, (Ministerstvo vnútra Slovenskej republiky)",f66fcc2f-e6b2-53e9-9f4d-c4a695a612f1,Import e-VÚC | Identifikátor: 51-00151866-A0060 | Poskytovateľ: Ministerstvo vnútra Slovenskej republiky | IČO: 00151866 | Odbornosť: poradenská psychológia,,
3ec7a748-9eb6-5c75-9127-1ee74075fc3d,"Ambulancia pracovnej a organizačnej psychológie, Banská Bystrica, (Ministerstvo vnútra Slovenskej republiky)",c05423d2-a125-5c68-b4fa-44c711e6d41b,Import e-VÚC | Identifikátor: 51-00151866-A0059 | Poskytovateľ: Ministerstvo vnútra Slovenskej republiky | IČO: 00151866 | Odbornosť: pracovná a organizačná psychológia,,
4d301be2-7aaf-5506-9b11-8df8476cbc77,"Smileverse Dental Care, Banská Bystrica, (Smileverse s. r. o.)",bd60949d-dfc4-516d-91db-bae6ef4e5a49,Import e-VÚC | Identifikátor: 66-54623791-A0002 | Poskytovateľ: Smileverse s. r. o. | IČO: 54623791 | Odbornosť: zubné lekárstvo,,
4679c219-4f0b-5604-be91-f2b84145818a,"Ambulancia plastickej chirurgie, Banská Bystrica, (Klinika Rudlová s. r. o.)",a02ce40b-cb5c-52be-88b0-28f4bde4a5ac,Import e-VÚC | Identifikátor: 66-55563333-A0009 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: plastická chirurgia,,
312c5ac3-c895-5504-b759-ca73c278b4e4,"Chirurgická ambulancia, Banská Bystrica, (Klinika Rudlová s. r. o.)",80ce9710-dbf9-5923-ae00-af88e5505525,Import e-VÚC | Identifikátor: 66-55563333-A0006 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: chirurgia,,
d251e035-3dc6-5eea-99c6-715d14832e82,"Gastroenterologická ambulancia, Banská Bystrica, (Klinika Rudlová s. r. o.)",daeab025-7b06-52d3-8105-69d68a262331,Import e-VÚC | Identifikátor: 66-55563333-A0008 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: gastroenterológia,,
7abc5772-cd48-541a-8d2a-1470a971612e,"Oftalmologická ambulancia, Banská Bystrica, (Klinika Rudlová s. r. o.)",66be0aa3-4451-5e90-95af-807dfaf583f7,Import e-VÚC | Identifikátor: 66-55563333-A0010 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: oftalmológia,,
8067ad85-9325-563c-a383-6a720e99087c,"Ortopedická ambulancia, Banská Bystrica, (Klinika Rudlová s. r. o.)",41fbebd7-5910-503d-a816-bd197ff61473,Import e-VÚC | Identifikátor: 66-55563333-A0007 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: ortopédia,,
7a3c8839-ddc7-5b3f-ad21-5de09f9ca167,"SVaLZ, fyziatria, balneológia a liečebná rehabilitácia, Banská Bystrica, (Physioclimbing Malay s. r. o.)",833c026a-8cd4-523e-8c59-e112837fa142,"Import e-VÚC | Identifikátor: 66-56291833-A0001 | Poskytovateľ: Physioclimbing Malay s. r. o. | IČO: 56291833 | Odbornosť: fyziatria, balneológia a liečebná rehabilitácia",,
2b0401a1-8dbd-59da-a6ea-27b13690ae34,"Ambulancia cievnej chirurgie, Banská Bystrica, (Stredoslovenský ústav srdcových a cievnych chorôb, a.s.)",4bf55d4b-16cb-5314-aa3b-5e490d9e5db2,"Import e-VÚC | Identifikátor: 51-36644331-A0024 | Poskytovateľ: Stredoslovenský ústav srdcových a cievnych chorôb, a.s. | IČO: 36644331 | Odbornosť: cievna chirurgia",,
