doctor_candidate_id,facility_id,evuc_identifier,source_url,doctor_full_name,doctor_title,doctor_first_name,doctor_last_name,doctor_suffix,primary_specialization,facility_name,provider_name,provider_ico,parse_status,candidate_confidence,import_recommendation,note
2335216d-2645-5dd8-a4eb-429432cb6008,7187ba35-e8e5-5116-9df2-dba9ce84cc02,66-55479251-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/svalz-fyzioterapia-banska-bystrica-bc.-jana-donovalova.html?page_id=152664,Bc. Jana Donovalová,Bc.,Jana,Donovalová,,fyzioterapia,"SVaLZ, fyzioterapia, Banská Bystrica, (Bc. Jana Donovalová)",Bc. Jana Donovalová,55479251,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
b404bfa0-4203-5904-b78b-80404aecb509,c7c9c3a3-cb1e-5bd1-b589-e0ae92d7dab8,66-50557262-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-klinickej-psychologie-banska-bystrica-phdr.-martina-beckova.html?page_id=152330,PhDr. Martina Bečková,PhDr.,Martina,Bečková,,klinická psychológia,"Ambulancia klinickej psychológie, Banská Bystrica, (PhDr. Martina Bečková)",PhDr. Martina Bečková,50557262,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
a4f673e9-a873-5823-a951-ae534c5bcc85,3c372c8d-15b5-5f8c-a29b-6fabb54c59a4,66-44407033-A0002,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-celustnej-ortopedie-mddr.-adam-michelcik-banska-bystrica-vldam.html?page_id=151414,MDDr. Adam Michelčík,MDDr.,Adam,Michelčík,,čeľustná ortopédia,"Ambulancia čeľustnej ortopédie, MDDr. Adam Michelčík, Banská Bystrica, (VLDAM s.r.o.)",VLDAM s.r.o.,44407033,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
8ab0c461-daf2-5701-b9b7-351dab1d905e,7d5fd530-947c-5f39-92f6-29940d07d19b,66-56652062-A0002,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-poradenskej-psychologie-banska-bystrica-mgr.-kristina-resslova.html?page_id=151411,Mgr. Kristína Resslová,Mgr.,Kristína,Resslová,,poradenská psychológia,"Ambulancia poradenskej psychológie, Banská Bystrica, (Mgr. Kristína Resslová)",Mgr. Kristína Resslová,56652062,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
d4bd6b60-1297-5e8f-8dea-0db656abe542,e13a49ad-3c2c-5fc4-af85-85114df69848,66-56652062-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-pracovnej-a-organizacnej-psychologie-banska-bystrica-mgr.-kristina-resslova.html?page_id=151412,Mgr. Kristína Resslová,Mgr.,Kristína,Resslová,,pracovná a organizačná psychológia,"Ambulancia pracovnej a organizačnej psychológie, Banská Bystrica, (Mgr. Kristína Resslová)",Mgr. Kristína Resslová,56652062,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
c9bf3c78-7a2b-5c88-9e87-c1aac3c764af,18acebd1-961f-599e-b294-54a8f30237aa,66-51744422-A0011,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-diabetologie-a-poruch-latkovej-premeny-a-vyzivy-mudr.-martina-vaganova-banska-bystrica-rozvojova-agentura-banskobystrickeho-samospravneho-kraja-n.o..html?page_id=151349,MUDr. Martina Vagáňová,MUDr.,Martina,Vagáňová,,"diabetológia, poruchy látkovej premeny a výživy","Ambulancia diabetológie a porúch látkovej premeny a výživy, MUDr. Martina Vagáňová, Banská Bystrica, (ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o.)","ROZVOJOVÁ AGENTÚRA Banskobystrického samosprávneho kraja, n.o.",51744422,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
80e8c187-f3ac-5704-9407-0d228f600d02,5134f057-adc9-5c2d-a7dd-c529b350ac69,66-32027222-A0002,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-pracovnej-a-organizacnej-psychologie-banska-bystrica-phdr.-janka-raucinova.html?page_id=151267,PhDr. Janka Raučinová,PhDr.,Janka,Raučinová,,pracovná a organizačná psychológia,"Ambulancia pracovnej a organizačnej psychológie, Banská Bystrica, (PhDr. Janka Raučinová)",PhDr. Janka Raučinová,32027222,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
4f4e1995-206f-553f-a746-a25fb49b7b1c,5c463df5-a11f-527f-9d35-882508e25a07,66-55917909-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/vseobecna-ambulancia-pre-dospelych-banska-bystrica-mudr.-darina-kordikova-s.-r.-o..html?page_id=150601,MUDr. Darina Kordíková,MUDr.,Darina,Kordíková,,všeobecné lekárstvo,"Všeobecná ambulancia pre dospelých, Banská Bystrica, (MUDr. Darina Kordíková, s. r. o.)","MUDr. Darina Kordíková, s. r. o.",55917909,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
c52cfd8b-a1bf-519e-803e-2571f50248d4,40f64977-48ed-591b-ad99-71e5b21bc6b8,66-55917569-A0001,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/vseobecna-ambulancia-pre-dospelych-banska-bystrica-mudr.-maria-tothova-s.-r.-o..html?page_id=150436,MUDr. Mária Tóthová,MUDr.,Mária,Tóthová,,všeobecné lekárstvo,"Všeobecná ambulancia pre dospelých, Banská Bystrica, (MUDr. Mária Tóthová, s. r. o.)","MUDr. Mária Tóthová, s. r. o.",55917569,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
737c2fef-63e1-5085-b2eb-80a01f6808ac,efc62d9b-c09b-5012-a55e-138fd8a02c9e,66-45594929-A0096,https://www.e-vuc.sk/bbsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/banska-bystrica/ambulancia-vnutorneho-lekarstva-mudr.-cellar-marcel-banska-bystrica-nemocnica-agel-zvolen-a.s..html?page_id=150275,MUDr. Čellár Marcel,MUDr.,Čellár,Marcel,,vnútorné lekárstvo,"Ambulancia vnútorného lekárstva, MUDr. Čellár Marcel, Banská Bystrica, (Nemocnica AGEL Zvolen a.s.)",Nemocnica AGEL Zvolen a.s.,45594929,ok,high,review_then_import,Nie je to license_id; meno je len extrahované z e-VÚC názvu/detailu.
