facility_id,evuc_identifier,street,street_number,city,region,zip_code,full_address,is_primary
5c463df5-a11f-527f-9d35-882508e25a07,66-55917909-A0001,Horná,838/60,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Horná, 838/60, 97401, Banská Bystrica",true
77b204c1-7c86-538a-8b98-86601a2b1c92,66-51803178-A0001,Nad plážou,14458/1,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Nad plážou, 14458/1, 97401, Banská Bystrica",true
889c5523-abfe-5daa-883d-341a1d8f7cd1,51-00738301-A0112,Komenského,477/7,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"ÚVV a ÚVTOS, Komenského, 477/7, 97401, Banská Bystrica",true
ff4e2359-8b61-5eb6-9ba6-a474d27a7edc,51-00738301-A0113,Sládkovičova,2238/80,Banská Bystrica,Banskobystrický samosprávny kraj,97405,"ÚVTOS, Sládkovičova, 2238/80, 97405, Banská Bystrica",true
7b7535f0-f98b-5dd6-9ecc-b833ee1a473c,66-46991492-A0003,Horná,14021/61A,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Horná, 14021/61A, 97401, Banská Bystrica",true
40f64977-48ed-591b-ad99-71e5b21bc6b8,66-55917569-A0001,Spojová,6986/25,Banská Bystrica,Banskobystrický samosprávny kraj,97404,"Spojová, 6986/25, 97404, Banská Bystrica",true
e175ecf8-d9f6-5204-8927-090137b92368,66-55563333-A0002,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
069b32f3-441c-5189-bd19-c8088e19472a,66-55563333-A0003,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
202b9117-5cc3-5948-818e-dcde4b701caf,66-55563333-A0004,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
66e44c9a-3821-5a32-a118-f1d3ceeeacf7,66-55563333-A0005,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
23827626-8301-536d-8463-0642b9bdee58,51-37957937-A0057,Námestie Ludvika Svobodu,6818/4,Banská Bystrica,Banskobystrický samosprávny kraj,97409,"DFNsP BB, Námestie Ludvika Svobodu, 6818/4, 97409, Banská Bystrica",true
efc62d9b-c09b-5012-a55e-138fd8a02c9e,66-45594929-A0096,Kovačická ulica,15689/1,Banská Bystrica,Banskobystrický samosprávny kraj,97404,"Nemocnica Zvolen, Kovačická ulica, 15689/1, 97404, Banská Bystrica",true
cf94a31e-01d9-58e2-a74c-23bb325accdd,66-47355107-A0002,Športová,535/1,Brusno,Banskobystrický samosprávny kraj,97662,"Športová, 535/1, 97662, Brusno",true
54696369-4c17-50a5-933c-eb96520f1605,66-56017987-A0001,Sládkovičova,14200/7A,Banská Bystrica,Banskobystrický samosprávny kraj,97405,"Sládkovičova, 14200/7A, 97405, Banská Bystrica",true
db0aa8b8-b4b0-5281-bc66-313dfe4a2020,51-31936415-A0260,Cesta olympionikov,1497/3,Banská Bystrica,Banskobystrický samosprávny kraj,97404,"Vojenské športové centrum DUKLA Banská Bystrica, Cesta olympionikov, 1497/3, 97404, Banská Bystrica",true
d81eace2-a15d-5a84-8c59-0b7b435cd447,66-55563333-A0001,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
e03ba9f0-f739-5fdb-9ddb-abfb09cb3e78,66-55741134-A0001,Švermova,15281/4,Banská Bystrica,Banskobystrický samosprávny kraj,97404,"Švermova, 15281/4, 97404, Banská Bystrica",true
b181b3a7-8047-52f9-830b-d299383bd3ba,66-55741134-A0002,Švermova,15281/4,Banská Bystrica,Banskobystrický samosprávny kraj,97404,"Švermova, 15281/4, 97404, Banská Bystrica",true
66a6a7eb-00d0-5842-9189-b99c85d9e324,66-31623832-A0047,Bernolákova,6900/12,Banská Bystrica,Banskobystrický samosprávny kraj,97405,"Poliklinika NOVAMED, Bernolákova, 6900/12, 97405, Banská Bystrica",true
073136a9-1bf4-564e-9922-b45113f8b0be,66-55996558-A0001,Starohorská,6880/72,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Starohorská, 6880/72, 97411, Banská Bystrica",true
36f10d06-e85f-5fe4-8b97-5a4f32c7f6b7,66-55680801-A0001,Lazovná,513/54,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Lazovná, 513/54, 97401, Banská Bystrica",true
467ef271-831c-50a7-b7bc-09d7d62443e7,66-55591515-A0001,Bernolákova,6900/12,Banská Bystrica,Banskobystrický samosprávny kraj,97405,"Bernolákova, 6900/12, 97405, Banská Bystrica",true
b622d8fc-25ab-5902-8b4f-a1bf74a0c901,66-52058239-A0004,Spojová,6986/25,Banská Bystrica,Banskobystrický samosprávny kraj,97404,"Spojová, 6986/25, 97404, Banská Bystrica",true
e00291a3-2722-55b6-b0fe-f87c05a6595f,66-54918375-A0001,Rudlovská cesta,5978/83,Banská Bystrica,Banskobystrický samosprávny kraj,97411,"Rudlovská cesta, 5978/83, 97411, Banská Bystrica",true
ec3fe679-de52-52c1-86fd-59cf36d88c56,66-53234626-A0001,Horná,14021/61A,Banská Bystrica,Banskobystrický samosprávny kraj,97401,"Horná, 14021/61A, 97401, Banská Bystrica",true
