id,slug,category,name
7c70dbb2-280e-587c-8d87-49023bcf52ed,mudr-ivan-vojtas-lekar,e-vuc,MUDr. Ivan Vojtáš (lekár)
8448bd66-86d3-59fd-a798-6325e3ef5766,mudr-ivana-gutzelnig-lekar,e-vuc,MUDr. Ivana Gutzelnig (lekár)
d10b7791-e93c-5e82-b898-6e29f0a900b3,mudr-ivana-mojzisova-lekar,e-vuc,MUDr. Ivana Mojžišová (lekár)
c30f7d4c-a92a-58b6-943c-f97fbb6a6177,mudr-ivana-sanderova-lekar,e-vuc,MUDr. Ivana Šanderová (lekár)
db7bddd8-d754-569d-9259-6efe3ab9c3f2,mudr-jana-budinska-velicova-lekar,e-vuc,MUDr. Jana Budinská Veličová (lekár)
fde7145a-eb56-5c7b-a413-4cab84552928,mudr-jana-fabkova-mph-lekar,e-vuc,"MUDr. Jana Fabková, MPH. (lekár)"
9e91df05-310d-5bf3-96fc-21be72b33965,mudr-jana-kovacova-lekar,e-vuc,MUDr. Jana Kováčová (lekár)
774463c4-df84-5bc2-85ab-195a312b3ad5,mudr-jana-makasova-lekar,e-vuc,MUDr. Jana Makasová (lekár)
135ff02e-11c1-5c80-a759-fc0959aa13f5,mudr-jana-mundierova-lekar,e-vuc,MUDr. Jana Mundierová (lekár)
673ee890-5d10-5878-ae12-493306a05293,mudr-jana-tkacikova-lekar,e-vuc,MUDr. Jana Tkáčiková (lekár)
5c96f59b-5fe2-56da-ab5a-a5c63b6cb9d7,mudr-janka-adamcakova-lekar,e-vuc,MUDr. Janka Adamčáková (lekár)
130351d9-99a2-58c6-b129-5fe1172638c6,mudr-jaroslav-jackuliak,e-vuc,MUDr. Jaroslav Jackuliak
452ada2a-23c7-5407-a26e-3dcef7a5e41c,mudr-jaroslav-podmanicky-lekar,e-vuc,MUDr. Jaroslav Podmanický (lekár)
43083152-2470-5e6b-be4e-ca3bcffda369,mudr-jozef-breznicky-lekar,e-vuc,MUDr. Jozef Breznický (lekár)
da937c27-6f5a-5964-be8b-08ca28ad439d,mudr-jozef-golian-lekar,e-vuc,MUDr. Jozef Golian (lekár)
43c4c354-c926-5d50-a20d-c9a54ae2106c,mudr-juraj-gemes-lekar,e-vuc,MUDr. Juraj Gémeš (lekár)
158a636e-9d26-5a9e-a027-9f22749d1dd4,mudr-jan-benda-lekar,e-vuc,MUDr. Ján Benda (lekár)
d59af0b5-7236-5b7b-8890-5ef156e5ab63,mudr-jan-farkas-lekar,e-vuc,MUDr. Ján Farkas (lekár)
3184e2a8-e4f2-54b5-bf49-0d1b8936d572,mudr-jan-pancik-lekar,e-vuc,MUDr. Ján Pančík (lekár)
7cf03ae1-0b26-5e60-9ee4-828d64ceafcc,mudr-katarina-juhaniakova-lekar,e-vuc,MUDr. Katarína Juhaniaková (lekár)
e7d25a90-cb4a-5b61-843d-b90bbfa8f16b,mudr-kracunova-jana-lekar,e-vuc,MUDr. Kračúnová Jana (lekár)
db27ed02-c5ef-53fd-a47b-526823fe7356,mudr-kristina-hornak-lekar,e-vuc,MUDr. Kristína Horňák (lekár)
ebdcf908-dc88-59eb-b512-87231d15e3bc,mudr-kristina-vaganova-lekar,e-vuc,MUDr. Kristína Vagáňová (lekár)
3c686dff-08a7-5287-9c7d-4cf2d6ca2dc4,mudr-laurincova-silvia-lekar,e-vuc,MUDr. Laurincová Silvia (lekár)
8c0059d7-78c0-5e2a-b144-2ce0135799ca,mudr-lenka-obsitnikova-lekar,e-vuc,MUDr. Lenka Obšitníková (lekár)
a08f1559-d69d-57dd-ac93-1f6d79aa8b95,mudr-lucia-gordulicova-lekar,e-vuc,MUDr. Lucia Gorduličová (lekár)
33a0b30b-4526-5456-a8f3-20a5fec5b1f4,mudr-lukas-sojak-lekar,e-vuc,MUDr. Lukáš Soják (lekár)
8d95fc9f-37b9-5b6f-a887-30bf7a7fb918,mudr-marcel-hrebenar-lekar,e-vuc,MUDr. Marcel Hrebenár (lekár)
